office,candidate,party,votes,district
President,Bachmann,R,124,District 1
President,Gingrich,R,20891,District 1
President,Huntsman,R,90,District 1
President,Johnson,R,44,District 1
President,Paul,R,3522,District 1
President,Perry,R,149,District 1
President,Roemer,R,87,District 1
President,Romney,R,17265,District 1
President,Santorum,R,13027,District 1
President,Totals,R,55199,District 1
President,Bachmann,R,109,District 2
President,Gingrich,R,19183,District 2
President,Huntsman,R,57,District 2
President,Johnson,R,35,District 2
President,Paul,R,2070,District 2
President,Perry,R,100,District 2
President,Roemer,R,48,District 2
President,Romney,R,9152,District 2
President,Santorum,R,10179,District 2
President,Totals,R,40933,District 2
President,Bachmann,R,153,District 3
President,Gingrich,R,44791,District 3
President,Huntsman,R,112,District 3
President,Johnson,R,42,District 3
President,Paul,R,4943,District 3
President,Perry,R,140,District 3
President,Roemer,R,83,District 3
President,Romney,R,18382,District 3
President,Santorum,R,17105,District 3
President,Totals,R,85751,District 3
President,Bachmann,R,90,District 4
President,Gingrich,R,19884,District 4
President,Huntsman,R,118,District 4
President,Johnson,R,52,District 4
President,Paul,R,3030,District 4
President,Perry,R,84,District 4
President,Roemer,R,59,District 4
President,Romney,R,10468,District 4
President,Santorum,R,6522,District 4
President,Totals,R,40307,District 4
President,Bachmann,R,127,District 5
President,Gingrich,R,7023,District 5
President,Huntsman,R,227,District 5
President,Johnson,R,72,District 5
President,Paul,R,3248,District 5
President,Perry,R,63,District 5
President,Roemer,R,131,District 5
President,Romney,R,9299,District 5
President,Santorum,R,2900,District 5
President,Totals,R,23090,District 5
President,Bachmann,R,96,District 6
President,Gingrich,R,33995,District 6
President,Huntsman,R,320,District 6
President,Johnson,R,89,District 6
President,Paul,R,6496,District 6
President,Perry,R,115,District 6
President,Roemer,R,114,District 6
President,Romney,R,37363,District 6
President,Santorum,R,11730,District 6
President,Totals,R,90318,District 6
President,Bachmann,R,110,District 7
President,Gingrich,R,33635,District 7
President,Huntsman,R,135,District 7
President,Johnson,R,53,District 7
President,Paul,R,4818,District 7
President,Perry,R,124,District 7
President,Roemer,R,76,District 7
President,Romney,R,22049,District 7
President,Santorum,R,12065,District 7
President,Totals,R,73065,District 7
President,Bachmann,R,136,District 8
President,Gingrich,R,28686,District 8
President,Huntsman,R,67,District 8
President,Johnson,R,34,District 8
President,Paul,R,3260,District 8
President,Perry,R,143,District 8
President,Roemer,R,64,District 8
President,Romney,R,13139,District 8
President,Santorum,R,15485,District 8
President,Totals,R,61014,District 8
President,Bachmann,R,147,District 9
President,Gingrich,R,49431,District 9
President,Huntsman,R,132,District 9
President,Johnson,R,62,District 9
President,Paul,R,5687,District 9
President,Perry,R,190,District 9
President,Roemer,R,109,District 9
President,Romney,R,19559,District 9
President,Santorum,R,19341,District 9
President,Totals,R,94658,District 9
President,Bachmann,R,109,District 10
President,Gingrich,R,42927,District 10
President,Huntsman,R,112,District 10
President,Johnson,R,51,District 10
President,Paul,R,4737,District 10
President,Perry,R,127,District 10
President,Roemer,R,85,District 10
President,Romney,R,16997,District 10
President,Santorum,R,14838,District 10
President,Totals,R,79983,District 10
President,Bachmann,R,145,District 11
President,Gingrich,R,42181,District 11
President,Huntsman,R,181,District 11
President,Johnson,R,50,District 11
President,Paul,R,6414,District 11
President,Perry,R,111,District 11
President,Roemer,R,106,District 11
President,Romney,R,25688,District 11
President,Santorum,R,15239,District 11
President,Totals,R,90115,District 11
President,Bachmann,R,130,District 12
President,Gingrich,R,25900,District 12
President,Huntsman,R,102,District 12
President,Johnson,R,69,District 12
President,Paul,R,3325,District 12
President,Perry,R,155,District 12
President,Roemer,R,78,District 12
President,Romney,R,13841,District 12
President,Santorum,R,14389,District 12
President,Totals,R,57989,District 12
President,Bachmann,R,89,District 13
President,Gingrich,R,21596,District 13
President,Huntsman,R,76,District 13
President,Johnson,R,35,District 13
President,Paul,R,2649,District 13
President,Perry,R,63,District 13
President,Roemer,R,45,District 13
President,Romney,R,8291,District 13
President,Santorum,R,7703,District 13
President,Totals,R,40547,District 13
President,Bachmann,R,149,District 14
President,Gingrich,R,35272,District 14
President,Huntsman,R,84,District 14
President,Johnson,R,52,District 14
President,Paul,R,4901,District 14
President,Perry,R,132,District 14
President,Roemer,R,57,District 14
President,Romney,R,12118,District 14
President,Santorum,R,15736,District 14
President,Totals,R,68501,District 14
