county,office,district,party,candidate,votes,election_day,absentee,early_voting,provisional
,State Senator,11,R,DEAN BURKE,7739,5547,109,2082,1
Colquitt,State Senator,11,R,DEAN BURKE,1144,855,2,287,0
Decatur,State Senator,11,R,DEAN BURKE,2371,1524,68,778,1
Early,State Senator,11,R,DEAN BURKE,442,356,2,84,0
Grady,State Senator,11,R,DEAN BURKE,811,581,7,223,0
Miller,State Senator,11,R,DEAN BURKE,379,258,4,117,0
Mitchell,State Senator,11,R,DEAN BURKE,348,287,2,59,0
Seminole,State Senator,11,R,DEAN BURKE,916,715,17,184,0
Thomas,State Senator,11,R,DEAN BURKE,1328,971,7,350,0
,State Senator,11,R,MIKE KEOWN,5507,3978,54,1475,0
Colquitt,State Senator,11,R,MIKE KEOWN,744,566,4,174,0
Decatur,State Senator,11,R,MIKE KEOWN,497,331,7,159,0
Early,State Senator,11,R,MIKE KEOWN,320,256,8,56,0
Grady,State Senator,11,R,MIKE KEOWN,1165,780,15,370,0
Miller,State Senator,11,R,MIKE KEOWN,134,89,3,42,0
Mitchell,State Senator,11,R,MIKE KEOWN,235,201,2,32,0
Seminole,State Senator,11,R,MIKE KEOWN,285,227,5,53,0
Thomas,State Senator,11,R,MIKE KEOWN,2127,1528,10,589,0
,State Representative,21,R,BRIAN LAURENS,599,464,68,67,0
Cherokee,State Representative,21,R,BRIAN LAURENS,599,464,68,67,0
,State Representative,21,R,SCOT TURNER,903,742,12,149,0
Cherokee,State Representative,21,R,SCOT TURNER,903,742,12,149,0
